clip_id,dataset_id,LocationID,SessionID,GroupID,latitude,longitude,binaural_start_s,binaural_end_s,audio_asset,video_asset,split,licence_spdx,n_responses,mean_PAQ1_pleasant,mean_PAQ2_vibrant,mean_PAQ3_eventful,mean_PAQ4_chaotic,mean_PAQ5_annoying,mean_PAQ6_monotonous,mean_PAQ7_uneventful,mean_PAQ8_calm,mean_ISOPleasant,mean_ISOEventful,LAeq_dBA,loudness_N_sone,sharpness_S_acum,roughness_R_asper,fluctuation_strength_F_vacil,tonality_T_tu
ISD_DadongSquare_DadongSquare2_DSQ2088,ISD,DadongSquare,DadongSquare2,DSQ2088,,,0.0,,ISD_DadongSquare_DSQ2088_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,0.1036,-0.1036,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2089,ISD,DadongSquare,DadongSquare2,DSQ2089,,,0.0,,ISD_DadongSquare_DSQ2089_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,0.5,-0.1036,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2090,ISD,DadongSquare,DadongSquare2,DSQ2090,,,0.0,,ISD_DadongSquare_DSQ2090_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,0.3536,-0.3536,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2091,ISD,DadongSquare,DadongSquare2,DSQ2091,,,0.0,,ISD_DadongSquare_DSQ2091_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,4.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,0.3232,-0.0732,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2092,ISD,DadongSquare,DadongSquare2,DSQ2092,,,0.0,,ISD_DadongSquare_DSQ2092_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,3.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,0.3964,-0.2071,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2093,ISD,DadongSquare,DadongSquare2,DSQ2093,,,0.0,,ISD_DadongSquare_DSQ2093_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,4.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,0.4268,-0.1768,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2094,ISD,DadongSquare,DadongSquare2,DSQ2094,,,0.0,,ISD_DadongSquare_DSQ2094_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,0.2803,-0.0303,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2095,ISD,DadongSquare,DadongSquare2,DSQ2095,,,0.0,,ISD_DadongSquare_DSQ2095_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,4.0,4.0,1.0,3.0,1.0,3.0,4.0,4.0,0.4571,-0.3107,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2096,ISD,DadongSquare,DadongSquare2,DSQ2096,,,0.0,,ISD_DadongSquare_DSQ2096_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,5.0,4.0,1.0,3.0,4.0,4.0,5.0,4.0,0.1768,-0.4874,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2097,ISD,DadongSquare,DadongSquare2,DSQ2097,,,0.0,,ISD_DadongSquare_DSQ2097_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,4.0,3.0,1.0,2.0,1.0,3.0,5.0,5.0,0.5303,-0.6339,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2098,ISD,DadongSquare,DadongSquare2,DSQ2098,,,0.0,,ISD_DadongSquare_DSQ2098_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,3.0,4.0,1.0,1.0,5.0,2.0,4.0,4.0,0.159,-0.3839,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2099,ISD,DadongSquare,DadongSquare2,DSQ2099,,,0.0,,ISD_DadongSquare_DSQ2099_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,3.0,4.0,1.0,1.0,5.0,2.0,4.0,4.0,0.159,-0.3839,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2100,ISD,DadongSquare,DadongSquare2,DSQ2100,,,0.0,,ISD_DadongSquare_DSQ2100_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,3.0,3.0,1.0,2.0,2.0,1.0,4.0,4.0,0.3964,-0.3107,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2101,ISD,DadongSquare,DadongSquare2,DSQ2101,,,0.0,,ISD_DadongSquare_DSQ2101_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,2.0,4.0,1.0,4.0,5.0,4.0,4.0,4.0,-0.3107,-0.3107,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2102,ISD,DadongSquare,DadongSquare2,DSQ2102,,,0.0,,ISD_DadongSquare_DSQ2102_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,0.3536,-0.3536,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2103,ISD,DadongSquare,DadongSquare2,DSQ2103,,,0.0,,ISD_DadongSquare_DSQ2103_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,2.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,0.1768,-0.4268,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2104,ISD,DadongSquare,DadongSquare2,DSQ2104,,,0.0,,ISD_DadongSquare_DSQ2104_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,3.0,5.0,1.0,1.0,1.0,2.0,5.0,4.0,0.6464,-0.4142,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2105,ISD,DadongSquare,DadongSquare2,DSQ2105,,,0.0,,ISD_DadongSquare_DSQ2105_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,0.5,-0.1036,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2106,ISD,DadongSquare,DadongSquare2,DSQ2106,,,0.0,,ISD_DadongSquare_DSQ2106_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,2.0,2.0,3.0,4.0,5.0,2.0,3.0,3.0,-0.3839,0.0732,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2107,ISD,DadongSquare,DadongSquare2,DSQ2107,,,0.0,,ISD_DadongSquare_DSQ2107_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,4.0,4.0,1.0,2.0,3.0,2.0,4.0,3.0,0.3232,-0.2374,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2108,ISD,DadongSquare,DadongSquare2,DSQ2108,,,0.0,,ISD_DadongSquare_DSQ2108_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,4.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,0.5,-0.3107,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2109,ISD,DadongSquare,DadongSquare2,DSQ2109,,,0.0,,ISD_DadongSquare_DSQ2109_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2110,ISD,DadongSquare,DadongSquare2,DSQ2110,,,0.0,,ISD_DadongSquare_DSQ2110_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,4.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,0.3536,0.1036,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2111,ISD,DadongSquare,DadongSquare2,DSQ2111,,,0.0,,ISD_DadongSquare_DSQ2111_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.1464,-0.3536,,,,,,
ISD_DadongSquare_DadongSquare2_DSQ2112,ISD,DadongSquare,DadongSquare2,DSQ2112,,,0.0,,ISD_DadongSquare_DSQ2112_binaural,ISD_DadongSquare_DadongSquare2_360,,CC-BY-4.0,1,3.0,3.0,3.0,1.0,2.0,3.0,4.0,4.0,0.3232,-0.3232,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3001,ISD,DadongSquare,DadongSquare3,DSQ3001,,,0.0,,ISD_DadongSquare_DSQ3001_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,3.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,0.3232,-0.3839,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3002,ISD,DadongSquare,DadongSquare3,DSQ3002,,,0.0,,ISD_DadongSquare_DSQ3002_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,3.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,-0.25,0.2929,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3003,ISD,DadongSquare,DadongSquare3,DSQ3003,,,0.0,,ISD_DadongSquare_DSQ3003_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,2.0,4.0,2.0,3.0,2.0,2.0,4.0,1.0,0.0,0.0858,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3004,ISD,DadongSquare,DadongSquare3,DSQ3004,,,0.0,,ISD_DadongSquare_DSQ3004_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,3.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,0.1036,0.0858,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3005,ISD,DadongSquare,DadongSquare3,DSQ3005,,,0.0,,ISD_DadongSquare_DSQ3005_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,3.0,5.0,2.0,3.0,2.0,2.0,4.0,2.0,0.25,0.0858,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3006,ISD,DadongSquare,DadongSquare3,DSQ3006,,,0.0,,ISD_DadongSquare_DSQ3006_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,0.2803,0.0126,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3007,ISD,DadongSquare,DadongSquare3,DSQ3007,,,0.0,,ISD_DadongSquare_DSQ3007_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,0.1768,-0.0303,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3008,ISD,DadongSquare,DadongSquare3,DSQ3008,,,0.0,,ISD_DadongSquare_DSQ3008_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,1.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,0.1893,0.1036,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3009,ISD,DadongSquare,DadongSquare3,DSQ3009,,,0.0,,ISD_DadongSquare_DSQ3009_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,2.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,0.2197,-0.1768,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3010,ISD,DadongSquare,DadongSquare3,DSQ3010,,,0.0,,ISD_DadongSquare_DSQ3010_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,3.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,0.4268,0.0303,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3011,ISD,DadongSquare,DadongSquare3,DSQ3011,,,0.0,,ISD_DadongSquare_DSQ3011_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,-0.2197,-0.0303,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3012,ISD,DadongSquare,DadongSquare3,DSQ3012,,,0.0,,ISD_DadongSquare_DSQ3012_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,2.0,2.0,4.0,4.0,2.0,2.0,1.0,3.0,-0.0732,0.3839,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3013,ISD,DadongSquare,DadongSquare3,DSQ3013,,,0.0,,ISD_DadongSquare_DSQ3013_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,-0.1036,0.1036,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3014,ISD,DadongSquare,DadongSquare3,DSQ3014,,,0.0,32.34,ISD_DadongSquare_DSQ3014_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,0.1768,-0.2803,62.07,16.3,2.17,0.0251,0.0475,0.218
ISD_DadongSquare_DadongSquare3_DSQ3015,ISD,DadongSquare,DadongSquare3,DSQ3015,,,0.0,42.8,ISD_DadongSquare_DSQ3015_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,-0.1464,0.1464,53.24,10.6,1.92,0.0213,0.0125,0.158
ISD_DadongSquare_DadongSquare3_DSQ3016,ISD,DadongSquare,DadongSquare3,DSQ3016,,,0.0,34.18,ISD_DadongSquare_DSQ3016_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,0.0,-0.25,55.79,11.7,1.65,0.0235,0.0249,0.162
ISD_DadongSquare_DadongSquare3_DSQ3017,ISD,DadongSquare,DadongSquare3,DSQ3017,,,0.0,41.81,ISD_DadongSquare_DSQ3017_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,0.1464,-0.1464,51.94,9.38,2.24,0.0216,0.00544,0.136
ISD_DadongSquare_DadongSquare3_DSQ3018,ISD,DadongSquare,DadongSquare3,DSQ3018,,,0.0,41.84,ISD_DadongSquare_DSQ3018_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,2.0,4.0,3.0,1.0,2.0,3.0,4.0,2.0,0.1464,-0.1036,51.94,9.38,2.24,0.0216,0.00543,0.136
ISD_DadongSquare_DadongSquare3_DSQ3019,ISD,DadongSquare,DadongSquare3,DSQ3019,,,0.0,41.55,ISD_DadongSquare_DSQ3019_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,3.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,0.3536,-0.1464,54.62,10.8,2.51,0.0202,0.00338,0.093
ISD_DadongSquare_DadongSquare3_DSQ3020,ISD,DadongSquare,DadongSquare3,DSQ3020,,,0.0,37.61,ISD_DadongSquare_DSQ3020_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,0.2803,-0.0732,67.81,26.4,2.7,0.0865,0.0133,0.584
ISD_DadongSquare_DadongSquare3_DSQ3021,ISD,DadongSquare,DadongSquare3,DSQ3021,,,0.0,37.38,ISD_DadongSquare_DSQ3021_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,0.0,-0.0607,67.78,26.4,2.7,0.0866,0.0133,0.584
ISD_DadongSquare_DadongSquare3_DSQ3022,ISD,DadongSquare,DadongSquare3,DSQ3022,,,0.0,36.78,ISD_DadongSquare_DSQ3022_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,0.4268,-0.1768,59.59,17.0,2.77,0.0359,0.00685,0.215
ISD_DadongSquare_DadongSquare3_DSQ3023,ISD,DadongSquare,DadongSquare3,DSQ3023,,,0.0,36.99,ISD_DadongSquare_DSQ3023_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,0.1464,0.0,53.34,10.4,2.1,0.0224,0.00472,0.25
ISD_DadongSquare_DadongSquare3_DSQ3024,ISD,DadongSquare,DadongSquare3,DSQ3024,,,0.0,32.48,ISD_DadongSquare_DSQ3024_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,0.5,0.0,59.63,16.0,2.88,0.0267,0.00542,0.114
ISD_DadongSquare_DadongSquare3_DSQ3025,ISD,DadongSquare,DadongSquare3,DSQ3025,,,0.0,,ISD_DadongSquare_DSQ3025_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,5.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,0.1339,0.2197,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3026,ISD,DadongSquare,DadongSquare3,DSQ3026,,,0.0,,ISD_DadongSquare_DSQ3026_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,3.0,5.0,3.0,1.0,2.0,4.0,1.0,3.0,0.3232,0.1339,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3027,ISD,DadongSquare,DadongSquare3,DSQ3027,,,0.0,,ISD_DadongSquare_DSQ3027_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,5.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,0.2803,-0.2803,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3028,ISD,DadongSquare,DadongSquare3,DSQ3028,,,0.0,,ISD_DadongSquare_DSQ3028_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,-0.1464,0.2071,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3029,ISD,DadongSquare,DadongSquare3,DSQ3029,,,0.0,,ISD_DadongSquare_DSQ3029_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,0.1768,-0.0732,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3030,ISD,DadongSquare,DadongSquare3,DSQ3030,,,0.0,,ISD_DadongSquare_DSQ3030_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,1.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0429,-0.1036,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3031,ISD,DadongSquare,DadongSquare3,DSQ3031,,,0.0,,ISD_DadongSquare_DSQ3031_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,5.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,0.0607,0.25,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3032,ISD,DadongSquare,DadongSquare3,DSQ3032,,,0.0,,ISD_DadongSquare_DSQ3032_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,0.2071,-0.2071,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3033,ISD,DadongSquare,DadongSquare3,DSQ3033,,,0.0,,ISD_DadongSquare_DSQ3033_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,0.0607,0.1036,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3034,ISD,DadongSquare,DadongSquare3,DSQ3034,,,0.0,,ISD_DadongSquare_DSQ3034_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.1036,0.0429,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3035,ISD,DadongSquare,DadongSquare3,DSQ3035,,,0.0,,ISD_DadongSquare_DSQ3035_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,5.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,0.5303,0.2197,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3036,ISD,DadongSquare,DadongSquare3,DSQ3036,,,0.0,,ISD_DadongSquare_DSQ3036_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,5.0,4.0,3.0,3.0,2.0,1.0,4.0,2.0,0.4571,0.1893,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3037,ISD,DadongSquare,DadongSquare3,DSQ3037,,,0.0,,ISD_DadongSquare_DSQ3037_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,4.0,4.0,3.0,2.0,1.0,4.0,2.0,0.3536,0.2929,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3038,ISD,DadongSquare,DadongSquare3,DSQ3038,,,0.0,,ISD_DadongSquare_DSQ3038_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,0.1768,0.4268,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3039,ISD,DadongSquare,DadongSquare3,DSQ3039,,,0.0,,ISD_DadongSquare_DSQ3039_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,0.0732,-0.0732,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3040,ISD,DadongSquare,DadongSquare3,DSQ3040,,,0.0,,ISD_DadongSquare_DSQ3040_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,5.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,0.091,0.0303,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3041,ISD,DadongSquare,DadongSquare3,DSQ3041,,,0.0,,ISD_DadongSquare_DSQ3041_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,5.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0,0.3839,0.2803,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3042,ISD,DadongSquare,DadongSquare3,DSQ3042,,,0.0,,ISD_DadongSquare_DSQ3042_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,5.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,0.4571,0.1464,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3043,ISD,DadongSquare,DadongSquare3,DSQ3043,,,0.0,,ISD_DadongSquare_DSQ3043_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,5.0,5.0,4.0,3.0,2.0,4.0,3.0,3.0,0.3839,0.1768,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3044,ISD,DadongSquare,DadongSquare3,DSQ3044,,,0.0,,ISD_DadongSquare_DSQ3044_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,0.4268,0.0732,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3045,ISD,DadongSquare,DadongSquare3,DSQ3045,,,0.0,,ISD_DadongSquare_DSQ3045_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,5.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,0.1339,0.2803,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3046,ISD,DadongSquare,DadongSquare3,DSQ3046,,,0.0,,ISD_DadongSquare_DSQ3046_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3047,ISD,DadongSquare,DadongSquare3,DSQ3047,,,0.0,,ISD_DadongSquare_DSQ3047_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,5.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,0.4571,0.3536,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3048,ISD,DadongSquare,DadongSquare3,DSQ3048,,,0.0,,ISD_DadongSquare_DSQ3048_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,0.25,-0.2071,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3049,ISD,DadongSquare,DadongSquare3,DSQ3049,,,0.0,,ISD_DadongSquare_DSQ3049_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,5.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,0.3536,0.1464,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3050,ISD,DadongSquare,DadongSquare3,DSQ3050,,,0.0,,ISD_DadongSquare_DSQ3050_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,4.0,3.0,2.0,1.0,4.0,4.0,5.0,0.5303,-0.3232,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3051,ISD,DadongSquare,DadongSquare3,DSQ3051,,,0.0,,ISD_DadongSquare_DSQ3051_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0732,-0.0732,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3052,ISD,DadongSquare,DadongSquare3,DSQ3052,,,0.0,,ISD_DadongSquare_DSQ3052_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,2.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,0.0,-0.5,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3053,ISD,DadongSquare,DadongSquare3,DSQ3053,,,0.0,,ISD_DadongSquare_DSQ3053_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,0.1768,-0.1768,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3054,ISD,DadongSquare,DadongSquare3,DSQ3054,,,0.0,,ISD_DadongSquare_DSQ3054_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,0.2197,0.1768,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3055,ISD,DadongSquare,DadongSquare3,DSQ3055,,,0.0,,ISD_DadongSquare_DSQ3055_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,0.3536,-0.2071,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3056,ISD,DadongSquare,DadongSquare3,DSQ3056,,,0.0,,ISD_DadongSquare_DSQ3056_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,0.1768,-0.1768,,,,,,
ISD_DadongSquare_DadongSquare3_DSQ3057,ISD,DadongSquare,DadongSquare3,DSQ3057,,,0.0,,ISD_DadongSquare_DSQ3057_binaural,ISD_DadongSquare_DadongSquare3_360,,CC-BY-4.0,1,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,0.3536,-0.0607,,,,,,
